Phage	MAG	lambda	metrics
k141_36609	bin.187	0.0625	{'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'TP': 1, 'FP': 0, 'FN': 0}
k141_382420	bin.184	0.875	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_187880	bin.183	0.5	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_515126	bin.182	0.25	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_179903	bin.181	0.123046875	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_551856	bin.180	0.5	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_28136	bin.17	0.875	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_307074	bin.166	0.5	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_235238	bin.165	0.125	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_42258	bin.163	0.078125	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_380889	bin.162	0.9375	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_451442	bin.161	0.21875	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_350968	bin.16	0.03125	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_78662	bin.156	0.5	{'precision': 0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 0, 'FN': 1}
k141_615364	bin.149	0.0625	{'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'TP': 1, 'FP': 0, 'FN': 0}
k141_328215	bin.146	0.5	{'precision': 0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 0, 'FN': 1}
k141_92791	bin.142	0.125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 1, 'FN': 1}
k141_512666	bin.139	0.875	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_654841	bin.124	0.75	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_85772	bin.117	0.125	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_723326	bin.116	0.5	{'precision': 0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 0, 'FN': 1}
k141_65862	bin.108	0.875	{'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'TP': 1, 'FP': 0, 'FN': 0}
