Phage	MAG	lambda	metrics
k141_147653	bin.36	0.015625	{'precision': 0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 0, 'FN': 1}
k141_212689	bin.35	0.02734375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_30722	bin.34	0.01171875	{'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'TP': 1, 'FP': 3, 'FN': 0}
k141_128435	bin.31	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_286919	bin.29	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_360270	bin.27	0.01953125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_98861	bin.25	0.015625	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_326566	bin.22	0.01953125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_20222	bin.21	0.0234375	{'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'TP': 1, 'FP': 3, 'FN': 0}
k141_388360	bin.2	0.015625	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_299005	bin.177	0.008544921875	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_184075	bin.176	0.017578125	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_180002	bin.175	0.0234375	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_337728	bin.173	0.01953125	{'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'TP': 1, 'FP': 3, 'FN': 0}
k141_252742	bin.172	0.0234375	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_240177	bin.171	0.021484375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_255524	bin.170	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_289820	bin.17	0.0234375	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_336634	bin.169	0.015625	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_267043	bin.168	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_385265	bin.166	0.005859375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_299288	bin.165	0.015625	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_115964	bin.163	0.03125	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_217494	bin.162	0.015625	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_352417	bin.161	0.01953125	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_136631	bin.153	0.02734375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_181898	bin.152	0.015625	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_88851	bin.151	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_192741	bin.15	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_597	bin.149	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_330441	bin.146	0.015625	{'precision': 0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 0, 'FN': 1}
k141_149553	bin.140	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_201649	bin.132	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_204188	bin.130	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_140998	bin.13	0.01953125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_212002	bin.129	0.03125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_389690	bin.128	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_181912	bin.124	0.015625	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_144337	bin.116	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_69453	bin.10	0.01953125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
