lambda,precision,recall,n_predicted
0.1,0.4883720930232558,0.6885245901639344,86
0.1090909090909091,0.4883720930232558,0.6885245901639344,86
0.1181818181818182,0.4883720930232558,0.6885245901639344,86
0.1272727272727273,0.4883720930232558,0.6885245901639344,86
0.13636363636363635,0.4883720930232558,0.6885245901639344,86
0.14545454545454545,0.4883720930232558,0.6885245901639344,86
0.15454545454545454,0.4883720930232558,0.6885245901639344,86
0.16363636363636364,0.4883720930232558,0.6885245901639344,86
0.17272727272727273,0.4883720930232558,0.6885245901639344,86
0.18181818181818182,0.4883720930232558,0.6885245901639344,86
0.19090909090909092,0.4883720930232558,0.6885245901639344,86
0.2,0.4883720930232558,0.6885245901639344,86
0.2090909090909091,0.4883720930232558,0.6885245901639344,86
0.2181818181818182,0.4883720930232558,0.6885245901639344,86
0.22727272727272727,0.4883720930232558,0.6885245901639344,86
0.23636363636363636,0.4883720930232558,0.6885245901639344,86
0.24545454545454545,0.4883720930232558,0.6885245901639344,86
0.2545454545454545,0.4883720930232558,0.6885245901639344,86
0.26363636363636367,0.4883720930232558,0.6885245901639344,86
0.2727272727272727,0.4883720930232558,0.6885245901639344,86
0.28181818181818186,0.4883720930232558,0.6885245901639344,86
0.2909090909090909,0.4883720930232558,0.6885245901639344,86
0.3,0.4883720930232558,0.6885245901639344,86
0.3090909090909091,0.4883720930232558,0.6885245901639344,86
0.3181818181818182,0.4883720930232558,0.6885245901639344,86
0.32727272727272727,0.4883720930232558,0.6885245901639344,86
0.33636363636363636,0.4883720930232558,0.6885245901639344,86
0.34545454545454546,0.4883720930232558,0.6885245901639344,86
0.3545454545454545,0.4883720930232558,0.6885245901639344,86
0.36363636363636365,0.4883720930232558,0.6885245901639344,86
0.3727272727272727,0.4883720930232558,0.6885245901639344,86
0.38181818181818183,0.4883720930232558,0.6885245901639344,86
0.3909090909090909,0.4883720930232558,0.6885245901639344,86
0.4,0.4883720930232558,0.6885245901639344,86
0.40909090909090906,0.4883720930232558,0.6885245901639344,86
0.4181818181818182,0.4883720930232558,0.6885245901639344,86
0.42727272727272725,0.4883720930232558,0.6885245901639344,86
0.4363636363636364,0.4883720930232558,0.6885245901639344,86
0.44545454545454544,0.4883720930232558,0.6885245901639344,86
0.4545454545454546,0.4725274725274725,0.7049180327868853,91
0.4636363636363636,0.4883720930232558,0.6885245901639344,86
0.47272727272727266,0.4883720930232558,0.6885245901639344,86
0.4818181818181818,0.4883720930232558,0.6885245901639344,86
0.49090909090909085,0.4883720930232558,0.6885245901639344,86
0.5,0.4883720930232558,0.6885245901639344,86
0.509090909090909,0.4883720930232558,0.6885245901639344,86
0.5181818181818182,0.4883720930232558,0.6885245901639344,86
0.5272727272727272,0.4883720930232558,0.6885245901639344,86
0.5363636363636364,0.4883720930232558,0.6885245901639344,86
0.5454545454545454,0.4883720930232558,0.6885245901639344,86
0.5545454545454546,0.4883720930232558,0.6885245901639344,86
0.5636363636363636,0.4883720930232558,0.6885245901639344,86
0.5727272727272728,0.4883720930232558,0.6885245901639344,86
0.5818181818181818,0.4883720930232558,0.6885245901639344,86
0.5909090909090909,0.4883720930232558,0.6885245901639344,86
0.6,0.4883720930232558,0.6885245901639344,86
0.609090909090909,0.4883720930232558,0.6885245901639344,86
0.6181818181818182,0.4883720930232558,0.6885245901639344,86
0.6272727272727272,0.4883720930232558,0.6885245901639344,86
0.6363636363636364,0.4883720930232558,0.6885245901639344,86
0.6454545454545454,0.4883720930232558,0.6885245901639344,86
0.6545454545454545,0.4883720930232558,0.6885245901639344,86
0.6636363636363636,0.4883720930232558,0.6885245901639344,86
0.6727272727272727,0.4883720930232558,0.6885245901639344,86
0.6818181818181818,0.4883720930232558,0.6885245901639344,86
0.6909090909090908,0.4883720930232558,0.6885245901639344,86
0.7,0.4883720930232558,0.6885245901639344,86
0.709090909090909,0.4883720930232558,0.6885245901639344,86
0.7181818181818181,0.4883720930232558,0.6885245901639344,86
0.7272727272727272,0.4883720930232558,0.6885245901639344,86
0.7363636363636363,0.4883720930232558,0.6885245901639344,86
0.7454545454545454,0.4725274725274725,0.7049180327868853,91
0.7545454545454545,0.4725274725274725,0.7049180327868853,91
0.7636363636363636,0.4725274725274725,0.7049180327868853,91
0.7727272727272727,0.44660194174757284,0.7540983606557377,103
0.7818181818181817,0.44642857142857145,0.819672131147541,112
0.7909090909090909,0.44642857142857145,0.819672131147541,112
0.7999999999999999,0.44642857142857145,0.819672131147541,112
0.8090909090909091,0.44642857142857145,0.819672131147541,112
0.8181818181818181,0.44642857142857145,0.819672131147541,112
0.8272727272727273,0.44642857142857145,0.819672131147541,112
0.8363636363636363,0.44642857142857145,0.819672131147541,112
0.8454545454545453,0.452991452991453,0.8688524590163934,117
0.8545454545454545,0.452991452991453,0.8688524590163934,117
0.8636363636363635,0.452991452991453,0.8688524590163934,117
0.8727272727272727,0.452991452991453,0.8688524590163934,117
0.8818181818181817,0.452991452991453,0.8688524590163934,117
0.8909090909090909,0.452991452991453,0.8688524590163934,117
0.8999999999999999,0.452991452991453,0.8688524590163934,117
0.9090909090909091,0.452991452991453,0.8688524590163934,117
0.9181818181818181,0.452991452991453,0.8688524590163934,117
0.9272727272727272,0.35802469135802467,0.9508196721311475,162
0.9363636363636363,0.35802469135802467,0.9508196721311475,162
0.9454545454545454,0.35802469135802467,0.9508196721311475,162
0.9545454545454545,0.3558282208588957,0.9508196721311475,163
0.9636363636363636,0.32972972972972975,1.0,185
0.9727272727272727,0.32972972972972975,1.0,185
0.9818181818181817,0.32972972972972975,1.0,185
0.9909090909090909,0.32972972972972975,1.0,185
1.0,0.32972972972972975,1.0,185
