seed,corrupt,r01,r10,precision,recall,f1,TP,FP,FN
20,500,0.7,0.4,0.7025948103792415,0.704,0.7032967032967032,352,149,148
20,500,0.7,0.3,0.824,0.824,0.824,412,88,88
20,500,0.6,0.6,0.5288270377733598,0.532,0.5304087736789631,266,237,234
20,100,0.3,0.6,0.297029702970297,0.3,0.29850746268656714,30,71,70
20,100,0.3,0.7,0.31,0.31,0.31,31,69,69
20,100,0.4,0.5,0.45,0.45,0.45,45,55,55
20,100,0.5,0.7,0.48484848484848486,0.48,0.4824120603015075,48,51,52
20,100,0.5,0.6,0.52,0.52,0.52,52,48,48
20,100,0.4,0.4,0.4117647058823529,0.42,0.41584158415841577,42,60,58
20,100,0.4,0.3,0.53,0.53,0.53,53,47,47
20,100,0.6,0.3,0.5,0.5,0.5,50,50,50
20,100,0.6,0.4,0.55,0.55,0.55,55,45,45
20,100,0.7,0.6,0.5204081632653061,0.51,0.5151515151515151,51,47,49
20,100,0.7,0.7,0.54,0.54,0.54,54,46,46
20,100,0.6,0.5,0.55,0.55,0.55,55,45,45
20,100,0.3,0.5,0.3431372549019608,0.35,0.3465346534653465,35,67,65
20,100,0.3,0.4,0.45,0.45,0.45,45,55,55
20,100,0.3,0.3,0.45918367346938777,0.45,0.45454545454545453,45,53,55
20,100,0.4,0.6,0.38,0.38,0.38,38,62,62
20,100,0.5,0.3,0.58,0.58,0.58,58,42,42
20,100,0.5,0.4,0.57,0.57,0.57,57,43,43
20,100,0.5,0.5,0.46,0.46,0.46,46,54,54
20,100,0.4,0.7,0.3333333333333333,0.33,0.3316582914572864,33,66,67
20,100,0.6,0.7,0.44554455445544555,0.45,0.44776119402985076,45,56,55
20,100,0.7,0.5,0.52,0.52,0.52,52,48,48
20,100,0.7,0.4,0.53,0.53,0.53,53,47,47
20,100,0.7,0.3,0.58,0.58,0.58,58,42,42
20,100,0.6,0.6,0.49,0.49,0.49,49,51,51
9,800,0.3,0.6,0.63625,0.63625,0.63625,509,291,291
9,800,0.3,0.7,0.615,0.615,0.615,492,308,308
9,800,0.4,0.5,0.7157622739018088,0.6925,0.7039390088945362,554,220,246
9,800,0.5,0.7,0.645,0.645,0.645,516,284,284
9,800,0.5,0.6,0.6738609112709832,0.7025,0.6878824969400246,562,272,238
9,800,0.4,0.4,0.7069825436408977,0.70875,0.7078651685393258,567,235,233
9,800,0.4,0.3,0.772215269086358,0.77125,0.7717323327079424,617,182,183
9,800,0.6,0.3,0.77125,0.77125,0.77125,617,183,183
9,800,0.6,0.4,0.7634543178973717,0.7625,0.7629768605378362,610,189,190
9,800,0.7,0.6,0.7340025094102886,0.73125,0.7326236693800876,585,212,215
9,800,0.7,0.7,0.7119700748129676,0.71375,0.7128589263420725,571,231,229
9,800,0.6,0.5,0.7295597484276729,0.725,0.7272727272727273,580,215,220
9,800,0.3,0.5,0.672544080604534,0.6675,0.6700125470514429,534,260,266
9,800,0.3,0.4,0.6715506715506715,0.6875,0.6794317479925881,550,269,250
9,800,0.3,0.3,0.7160647571606475,0.71875,0.7174048658764817,575,228,225
9,800,0.4,0.6,0.6787048567870486,0.68125,0.6799750467872739,545,258,255
9,800,0.5,0.3,0.7574626865671642,0.76125,0.7593516209476309,609,195,191
9,800,0.5,0.4,0.740880503144654,0.73625,0.7385579937304075,589,206,211
9,800,0.5,0.5,0.7393483709273183,0.7375,0.7384230287859825,590,208,210
9,800,0.4,0.7,0.6166868198307134,0.6375,0.6269207129686539,510,317,290
9,800,0.6,0.7,0.7073170731707317,0.68875,0.6979100696643445,551,228,249
9,800,0.7,0.5,0.7584480600750939,0.7575,0.7579737335834896,606,193,194
9,800,0.7,0.4,0.77625,0.77625,0.7762499999999999,621,179,179
9,800,0.7,0.3,0.805,0.805,0.805,644,156,156
9,800,0.6,0.6,0.734820322180917,0.74125,0.7380211574362165,593,214,207
9,1000,0.3,0.6,0.6426426426426426,0.642,0.6423211605802902,642,357,358
9,1000,0.3,0.7,0.6536485097636177,0.636,0.644703497212367,636,337,364
9,1000,0.4,0.5,0.704,0.704,0.704,704,296,296
9,1000,0.5,0.7,0.6764705882352942,0.667,0.6717019133937563,667,319,333
9,1000,0.5,0.6,0.7127127127127127,0.712,0.7123561780890444,712,287,288
9,1000,0.4,0.4,0.714,0.714,0.714,714,286,286
9,1000,0.4,0.3,0.781,0.781,0.7810000000000001,781,219,219
9,1000,0.6,0.3,0.7914171656686627,0.793,0.7922077922077922,793,209,207
9,1000,0.6,0.4,0.7869346733668342,0.783,0.7849624060150376,783,212,217
9,1000,0.7,0.6,0.7427716849451645,0.745,0.743884173739391,745,258,255
9,1000,0.7,0.7,0.7269076305220884,0.724,0.7254509018036074,724,272,276
9,1000,0.6,0.5,0.7570564516129032,0.751,0.754016064257028,751,241,249
9,1000,0.3,0.5,0.6695821185617103,0.689,0.6791522917693444,689,340,311
9,1000,0.3,0.4,0.6875621890547263,0.691,0.6892768079800499,691,314,309
9,1000,0.3,0.3,0.7189672293942403,0.724,0.7214748380667663,724,283,276
9,1000,0.4,0.6,0.6823176823176823,0.683,0.6826586706646677,683,318,317
9,1000,0.5,0.3,0.7778884462151394,0.781,0.779441117764471,781,223,219
9,1000,0.5,0.4,0.768,0.768,0.768,768,232,232
9,1000,0.5,0.5,0.7492507492507493,0.75,0.7496251874062968,750,251,250
9,1000,0.4,0.7,0.6533066132264529,0.652,0.6526526526526526,652,346,348
9,1000,0.6,0.7,0.6941649899396378,0.69,0.6920762286860581,690,304,310
9,1000,0.7,0.5,0.7673019057171514,0.765,0.7661492238357537,765,232,235
9,1000,0.7,0.4,0.7987987987987988,0.798,0.7983991995997999,798,201,202
9,1000,0.7,0.3,0.8141858141858141,0.815,0.8145927036481759,815,186,185
9,1000,0.6,0.6,0.7535934291581109,0.734,0.7436676798378926,734,240,266
9,500,0.3,0.6,0.616,0.616,0.616,308,192,192
9,500,0.3,0.7,0.5688622754491018,0.57,0.5694305694305695,285,216,215
9,500,0.4,0.5,0.69,0.69,0.69,345,155,155
9,500,0.5,0.7,0.6385542168674698,0.636,0.6372745490981964,318,180,182
9,500,0.5,0.6,0.6673306772908366,0.67,0.6686626746506986,335,167,165
9,500,0.4,0.4,0.672,0.672,0.672,336,164,164
9,500,0.4,0.3,0.717434869739479,0.716,0.7167167167167167,358,141,142
9,500,0.6,0.3,0.728,0.728,0.728,364,136,136
9,500,0.6,0.4,0.708,0.708,0.708,354,146,146
9,500,0.7,0.6,0.704,0.704,0.704,352,148,148
9,500,0.7,0.7,0.684,0.684,0.684,342,158,158
9,500,0.6,0.5,0.704,0.704,0.704,352,148,148
9,500,0.3,0.5,0.6385542168674698,0.636,0.6372745490981964,318,180,182
9,500,0.3,0.4,0.676,0.676,0.676,338,162,162
9,500,0.3,0.3,0.694,0.694,0.694,347,153,153
9,500,0.4,0.6,0.6447105788423154,0.646,0.6453546453546454,323,178,177
9,500,0.5,0.3,0.7034068136272545,0.702,0.7027027027027026,351,148,149
9,500,0.5,0.4,0.682,0.682,0.682,341,159,159
9,500,0.5,0.5,0.6746506986027944,0.676,0.6753246753246753,338,163,162
9,500,0.4,0.7,0.602,0.602,0.602,301,199,199
9,500,0.6,0.7,0.654690618762475,0.656,0.6553446553446552,328,173,172
9,500,0.7,0.5,0.696,0.696,0.696,348,152,152
9,500,0.7,0.4,0.7105788423153693,0.712,0.7112887112887113,356,145,144
9,500,0.7,0.3,0.7325349301397206,0.734,0.7332667332667333,367,134,133
9,500,0.6,0.6,0.6752988047808764,0.678,0.6766467065868264,339,163,161
9,100,0.3,0.6,0.43,0.43,0.42999999999999994,43,57,57
9,100,0.3,0.7,0.4,0.4,0.4000000000000001,40,60,60
9,100,0.4,0.5,0.49,0.49,0.49,49,51,51
9,100,0.5,0.7,0.42,0.42,0.41999999999999993,42,58,58
9,100,0.5,0.6,0.5,0.5,0.5,50,50,50
9,100,0.4,0.4,0.51,0.51,0.51,51,49,49
9,100,0.4,0.3,0.52,0.52,0.52,52,48,48
9,100,0.6,0.3,0.57,0.57,0.57,57,43,43
9,100,0.6,0.4,0.54,0.54,0.54,54,46,46
9,100,0.7,0.6,0.5,0.5,0.5,50,50,50
9,100,0.7,0.7,0.45544554455445546,0.46,0.4577114427860697,46,55,54
9,100,0.6,0.5,0.45,0.45,0.45,45,55,55
9,100,0.3,0.5,0.49,0.49,0.49,49,51,51
9,100,0.3,0.4,0.5,0.5,0.5,50,50,50
9,100,0.3,0.3,0.51,0.51,0.51,51,49,49
9,100,0.4,0.6,0.5151515151515151,0.51,0.5125628140703518,51,48,49
9,100,0.5,0.3,0.56,0.56,0.56,56,44,44
9,100,0.5,0.4,0.52,0.52,0.52,52,48,48
9,100,0.5,0.5,0.56,0.56,0.56,56,44,44
9,100,0.4,0.7,0.4639175257731959,0.45,0.45685279187817257,45,52,55
9,100,0.6,0.7,0.45,0.45,0.45,45,55,55
9,100,0.7,0.5,0.56,0.56,0.56,56,44,44
9,100,0.7,0.4,0.56,0.56,0.56,56,44,44
9,100,0.7,0.3,0.58,0.58,0.58,58,42,42
9,100,0.6,0.6,0.5,0.5,0.5,50,50,50
42,800,0.3,0.6,0.3352601156069364,0.3625,0.3483483483483484,290,575,510
42,800,0.3,0.7,0.3860845839017735,0.35375,0.36921069797782124,283,450,517
42,800,0.4,0.5,0.6143386897404203,0.62125,0.617775015537601,497,312,303
42,800,0.5,0.7,0.6015037593984962,0.6,0.6007509386733416,480,318,320
