seed,corrupt,r01,r10,precision,recall,f1,TP,FP,FN
42,100,0.7,0.5,0.8181818181818182,0.81,0.8140703517587939,81,18,19
42,100,0.7,0.4,0.86,0.86,0.8599999999999999,86,14,14
42,100,0.7,0.3,0.89,0.89,0.89,89,11,11
42,100,0.6,0.6,0.7373737373737373,0.73,0.7336683417085427,73,26,27
42,10,0.5,0.7,0.625,0.5,0.5555555555555556,5,3,5
42,10,0.5,0.6,0.8571428571428571,0.6,0.7058823529411764,6,1,4
42,10,0.4,0.4,1.0,0.5,0.6666666666666666,5,0,5
42,10,0.4,0.3,1.0,0.5,0.6666666666666666,5,0,5
42,10,0.6,0.3,0.3,0.3,0.3,3,7,7
42,10,0.6,0.4,0.2,0.2,0.20000000000000004,2,8,8
42,10,0.7,0.6,0.1,0.1,0.10000000000000002,1,9,9
42,10,0.7,0.7,0.2,0.2,0.20000000000000004,2,8,8
42,10,0.6,0.5,0.1,0.1,0.10000000000000002,1,9,9
42,10,0.5,0.3,1.0,0.4,0.5714285714285715,4,0,6
42,10,0.5,0.4,1.0,0.4,0.5714285714285715,4,0,6
42,10,0.5,0.5,1.0,0.6,0.7499999999999999,6,0,4
42,10,0.6,0.7,0.2,0.2,0.20000000000000004,2,8,8
42,10,0.7,0.5,0.4,0.4,0.4000000000000001,4,6,6
42,10,0.7,0.4,0.3,0.3,0.3,3,7,7
42,10,0.7,0.3,0.3,0.3,0.3,3,7,7
42,10,0.6,0.6,0.4,0.4,0.4000000000000001,4,6,6
42,50,0.5,0.6,1.0,0.02,0.0392156862745098,1,0,49
42,50,0.4,0.3,1.0,0.22,0.36065573770491804,11,0,39
42,50,0.6,0.3,0.76,0.76,0.76,38,12,12
42,50,0.6,0.4,0.68,0.68,0.68,34,16,16
42,50,0.7,0.6,0.64,0.64,0.64,32,18,18
42,50,0.7,0.7,0.6122448979591837,0.6,0.6060606060606062,30,19,20
42,50,0.6,0.5,0.6530612244897959,0.64,0.6464646464646464,32,17,18
42,50,0.5,0.3,1.0,0.28,0.43750000000000006,14,0,36
42,50,0.5,0.4,1.0,0.16,0.2758620689655173,8,0,42
42,50,0.5,0.5,1.0,0.38,0.5507246376811594,19,0,31
42,50,0.6,0.7,0.56,0.56,0.56,28,22,22
42,50,0.7,0.5,0.72,0.72,0.72,36,14,14
42,50,0.7,0.4,0.72,0.72,0.72,36,14,14
42,50,0.7,0.3,0.8163265306122449,0.8,0.8080808080808082,40,9,10
42,50,0.6,0.6,0.62,0.62,0.62,31,19,19
75,100,0.3,0.6,0.71,0.71,0.7100000000000001,71,29,29
75,100,0.3,0.7,0.64,0.64,0.64,64,36,36
75,100,0.4,0.5,0.8,0.8,0.8000000000000002,80,20,20
75,100,0.5,0.7,0.66,0.66,0.66,66,34,34
75,100,0.5,0.6,0.72,0.72,0.72,72,28,28
75,100,0.4,0.4,0.86,0.86,0.8599999999999999,86,14,14
75,100,0.4,0.3,0.89,0.89,0.89,89,11,11
75,100,0.6,0.3,0.89,0.89,0.89,89,11,11
75,100,0.6,0.4,0.86,0.86,0.8599999999999999,86,14,14
75,100,0.7,0.6,0.84,0.84,0.8399999999999999,84,16,16
75,100,0.7,0.7,0.7722772277227723,0.78,0.7761194029850748,78,23,22
75,100,0.6,0.5,0.84,0.84,0.8399999999999999,84,16,16
75,100,0.3,0.5,0.74,0.74,0.74,74,26,26
75,100,0.3,0.4,0.81,0.81,0.81,81,19,19
75,100,0.3,0.3,0.8484848484848485,0.84,0.8442211055276383,84,15,16
75,100,0.4,0.6,0.72,0.72,0.72,72,28,28
75,100,0.5,0.3,0.89,0.89,0.89,89,11,11
75,100,0.5,0.4,0.8888888888888888,0.88,0.8844221105527638,88,11,12
75,100,0.5,0.5,0.8,0.8,0.8000000000000002,80,20,20
75,100,0.4,0.7,0.65,0.65,0.65,65,35,35
75,100,0.6,0.7,0.7070707070707071,0.7,0.7035175879396985,70,29,30
75,100,0.7,0.5,0.900990099009901,0.91,0.9054726368159204,91,10,9
75,100,0.7,0.4,0.9306930693069307,0.94,0.9353233830845772,94,7,6
