lambda,precision,recall,n_predicted
0.010101010101010102,0.8970588235294118,0.5258620689655172,68
0.020202020202020204,0.8970588235294118,0.5258620689655172,68
0.030303030303030304,0.8970588235294118,0.5258620689655172,68
0.04040404040404041,0.8970588235294118,0.5258620689655172,68
0.05050505050505051,0.8970588235294118,0.5258620689655172,68
0.06060606060606061,0.8970588235294118,0.5258620689655172,68
0.07070707070707072,0.8970588235294118,0.5258620689655172,68
0.08080808080808081,0.8970588235294118,0.5258620689655172,68
0.09090909090909091,0.8970588235294118,0.5258620689655172,68
0.10101010101010102,0.8970588235294118,0.5258620689655172,68
0.11111111111111112,0.8970588235294118,0.5258620689655172,68
0.12121212121212122,0.8970588235294118,0.5258620689655172,68
0.125,0.8970588235294118,0.5258620689655172,68
0.13131313131313133,0.8970588235294118,0.5258620689655172,68
0.14141414141414144,0.8970588235294118,0.5258620689655172,68
0.15151515151515152,0.8840579710144928,0.5258620689655172,69
0.16161616161616163,0.8857142857142857,0.5344827586206896,70
0.17171717171717174,0.8857142857142857,0.5344827586206896,70
0.18181818181818182,0.8857142857142857,0.5344827586206896,70
0.19191919191919193,0.8888888888888888,0.5517241379310345,72
0.20202020202020204,0.8888888888888888,0.5517241379310345,72
0.21212121212121213,0.8888888888888888,0.5517241379310345,72
0.22222222222222224,0.8888888888888888,0.5517241379310345,72
0.23232323232323235,0.8888888888888888,0.5517241379310345,72
0.24242424242424243,0.8888888888888888,0.5517241379310345,72
0.25252525252525254,0.8918918918918919,0.5689655172413793,74
0.26262626262626265,0.8831168831168831,0.5862068965517241,77
0.27272727272727276,0.8831168831168831,0.5862068965517241,77
0.2828282828282829,0.8518518518518519,0.5948275862068966,81
0.29292929292929293,0.8536585365853658,0.603448275862069,82
0.30303030303030304,0.8536585365853658,0.603448275862069,82
0.31313131313131315,0.8571428571428571,0.6206896551724138,84
0.32323232323232326,0.8571428571428571,0.6206896551724138,84
0.33333333333333337,0.8505747126436781,0.6379310344827587,87
0.3434343434343435,0.8505747126436781,0.6379310344827587,87
0.3535353535353536,0.8409090909090909,0.6379310344827587,88
0.36363636363636365,0.8409090909090909,0.6379310344827587,88
0.37373737373737376,0.8409090909090909,0.6379310344827587,88
0.38383838383838387,0.8351648351648352,0.6551724137931034,91
0.393939393939394,0.8369565217391305,0.6637931034482759,92
0.4040404040404041,0.8369565217391305,0.6637931034482759,92
0.4141414141414142,0.8369565217391305,0.6637931034482759,92
0.42424242424242425,0.8387096774193549,0.6724137931034483,93
0.43434343434343436,0.8155339805825242,0.7241379310344828,103
0.4444444444444445,0.7837837837837838,0.75,111
0.4545454545454546,0.7631578947368421,0.75,114
0.4646464646464647,0.7565217391304347,0.75,115
0.4747474747474748,0.7398373983739838,0.7844827586206896,123
0.48484848484848486,0.7322834645669292,0.8017241379310345,127
0.494949494949495,0.734375,0.8103448275862069,128
0.5050505050505051,0.734375,0.8103448275862069,128
0.5151515151515152,0.734375,0.8103448275862069,128
0.5252525252525253,0.7272727272727273,0.8275862068965517,132
0.5353535353535354,0.7272727272727273,0.8275862068965517,132
0.5454545454545455,0.725925925925926,0.8448275862068966,135
0.5555555555555556,0.7279411764705882,0.853448275862069,136
0.5656565656565657,0.7013888888888888,0.8706896551724138,144
0.5757575757575758,0.7013888888888888,0.8706896551724138,144
0.5858585858585859,0.7013888888888888,0.8706896551724138,144
0.595959595959596,0.7034482758620689,0.8793103448275862,145
0.6060606060606061,0.7034482758620689,0.8793103448275862,145
0.6161616161616162,0.7034482758620689,0.8793103448275862,145
0.6262626262626263,0.6986301369863014,0.8793103448275862,146
0.6363636363636365,0.697986577181208,0.896551724137931,149
0.6464646464646465,0.697986577181208,0.896551724137931,149
0.6565656565656566,0.6838709677419355,0.9137931034482759,155
0.6666666666666667,0.6751592356687898,0.9137931034482759,157
0.6767676767676768,0.6708074534161491,0.9310344827586207,161
0.686868686868687,0.6606060606060606,0.9396551724137931,165
0.696969696969697,0.6586826347305389,0.9482758620689655,167
0.7070707070707072,0.6586826347305389,0.9482758620689655,167
0.7171717171717172,0.6586826347305389,0.9482758620689655,167
0.7272727272727273,0.6547619047619048,0.9482758620689655,168
0.7373737373737375,0.6547619047619048,0.9482758620689655,168
0.7474747474747475,0.6547619047619048,0.9482758620689655,168
0.7575757575757577,0.6440677966101694,0.9827586206896551,177
0.7676767676767677,0.6440677966101694,0.9827586206896551,177
0.7777777777777778,0.6440677966101694,0.9827586206896551,177
0.787878787878788,0.6440677966101694,0.9827586206896551,177
0.797979797979798,0.6440677966101694,0.9827586206896551,177
0.8080808080808082,0.6440677966101694,0.9827586206896551,177
0.8181818181818182,0.6353591160220995,0.9913793103448276,181
0.8282828282828284,0.6270270270270271,1.0,185
0.8383838383838385,0.6270270270270271,1.0,185
0.8484848484848485,0.6270270270270271,1.0,185
0.8585858585858587,0.6270270270270271,1.0,185
0.8686868686868687,0.6270270270270271,1.0,185
0.8787878787878789,0.6270270270270271,1.0,185
0.888888888888889,0.6270270270270271,1.0,185
0.8989898989898991,0.6270270270270271,1.0,185
0.9090909090909092,0.6270270270270271,1.0,185
0.9191919191919192,0.6270270270270271,1.0,185
0.9292929292929294,0.6270270270270271,1.0,185
0.9393939393939394,0.6270270270270271,1.0,185
0.9494949494949496,0.6270270270270271,1.0,185
0.9595959595959597,0.6270270270270271,1.0,185
0.9696969696969697,0.6270270270270271,1.0,185
0.9797979797979799,0.6270270270270271,1.0,185
0.98989898989899,0.6270270270270271,1.0,185
1.0,0.6270270270270271,1.0,185
