threshold,precision,recall,f1,count_pred,count_acc,predpos,acc
0.1,0.5285714285714286,0.6065573770491803,0.5648854961832062,70,37,0.3783783783783784,0.6065573770491803
0.11836734693877551,0.5285714285714286,0.6065573770491803,0.5648854961832062,70,37,0.3783783783783784,0.6065573770491803
0.13673469387755102,0.5285714285714286,0.6065573770491803,0.5648854961832062,70,37,0.3783783783783784,0.6065573770491803
0.15510204081632656,0.5285714285714286,0.6065573770491803,0.5648854961832062,70,37,0.3783783783783784,0.6065573770491803
0.17346938775510207,0.5285714285714286,0.6065573770491803,0.5648854961832062,70,37,0.3783783783783784,0.6065573770491803
0.19183673469387758,0.5068493150684932,0.6065573770491803,0.5522388059701493,73,37,0.3945945945945946,0.6065573770491803
0.21020408163265308,0.5068493150684932,0.6065573770491803,0.5522388059701493,73,37,0.3945945945945946,0.6065573770491803
0.2285714285714286,0.4875,0.639344262295082,0.5531914893617021,80,39,0.43243243243243246,0.639344262295082
0.2469387755102041,0.48,0.7868852459016393,0.5962732919254659,100,48,0.5405405405405406,0.7868852459016393
0.2653061224489796,0.48314606741573035,0.7049180327868853,0.5733333333333334,89,43,0.4810810810810811,0.7049180327868853
0.2836734693877551,0.48314606741573035,0.7049180327868853,0.5733333333333334,89,43,0.4810810810810811,0.7049180327868853
0.3020408163265306,0.48314606741573035,0.7049180327868853,0.5733333333333334,89,43,0.4810810810810811,0.7049180327868853
0.3204081632653062,0.47619047619047616,0.819672131147541,0.6024096385542168,105,50,0.5675675675675675,0.819672131147541
0.3387755102040817,0.47619047619047616,0.819672131147541,0.6024096385542168,105,50,0.5675675675675675,0.819672131147541
0.3571428571428572,0.47619047619047616,0.819672131147541,0.6024096385542168,105,50,0.5675675675675675,0.819672131147541
0.3755102040816327,0.47619047619047616,0.819672131147541,0.6024096385542168,105,50,0.5675675675675675,0.819672131147541
0.3938775510204082,0.47619047619047616,0.819672131147541,0.6024096385542168,105,50,0.5675675675675675,0.819672131147541
0.41224489795918373,0.47619047619047616,0.819672131147541,0.6024096385542168,105,50,0.5675675675675675,0.819672131147541
0.43061224489795924,0.47619047619047616,0.819672131147541,0.6024096385542168,105,50,0.5675675675675675,0.819672131147541
0.44897959183673475,0.47619047619047616,0.819672131147541,0.6024096385542168,105,50,0.5675675675675675,0.819672131147541
0.46734693877551026,0.47619047619047616,0.819672131147541,0.6024096385542168,105,50,0.5675675675675675,0.819672131147541
0.48571428571428577,0.47619047619047616,0.819672131147541,0.6024096385542168,105,50,0.5675675675675675,0.819672131147541
0.5040816326530613,0.47619047619047616,0.819672131147541,0.6024096385542168,105,50,0.5675675675675675,0.819672131147541
0.5224489795918368,0.47619047619047616,0.819672131147541,0.6024096385542168,105,50,0.5675675675675675,0.819672131147541
0.5408163265306123,0.47619047619047616,0.819672131147541,0.6024096385542168,105,50,0.5675675675675675,0.819672131147541
0.5591836734693878,0.47619047619047616,0.819672131147541,0.6024096385542168,105,50,0.5675675675675675,0.819672131147541
0.5775510204081633,0.47619047619047616,0.819672131147541,0.6024096385542168,105,50,0.5675675675675675,0.819672131147541
0.5959183673469388,0.47619047619047616,0.819672131147541,0.6024096385542168,105,50,0.5675675675675675,0.819672131147541
0.6142857142857143,0.3558282208588957,0.9508196721311475,0.5178571428571429,163,58,0.8810810810810811,0.9508196721311475
0.6326530612244898,0.3558282208588957,0.9508196721311475,0.5178571428571429,163,58,0.8810810810810811,0.9508196721311475
0.6510204081632653,0.3558282208588957,0.9508196721311475,0.5178571428571429,163,58,0.8810810810810811,0.9508196721311475
0.6693877551020408,0.3558282208588957,0.9508196721311475,0.5178571428571429,163,58,0.8810810810810811,0.9508196721311475
0.6877551020408164,0.3558282208588957,0.9508196721311475,0.5178571428571429,163,58,0.8810810810810811,0.9508196721311475
0.7061224489795919,0.32972972972972975,1.0,0.49593495934959353,185,61,1.0,1.0
0.7244897959183674,0.32972972972972975,1.0,0.49593495934959353,185,61,1.0,1.0
0.7428571428571429,0.32972972972972975,1.0,0.49593495934959353,185,61,1.0,1.0
0.7612244897959184,0.32972972972972975,1.0,0.49593495934959353,185,61,1.0,1.0
0.7795918367346939,0.32972972972972975,1.0,0.49593495934959353,185,61,1.0,1.0
0.7979591836734694,0.32972972972972975,1.0,0.49593495934959353,185,61,1.0,1.0
0.8163265306122449,0.32972972972972975,1.0,0.49593495934959353,185,61,1.0,1.0
0.8346938775510204,0.32972972972972975,1.0,0.49593495934959353,185,61,1.0,1.0
0.8530612244897959,0.32972972972972975,1.0,0.49593495934959353,185,61,1.0,1.0
0.8714285714285714,0.32972972972972975,1.0,0.49593495934959353,185,61,1.0,1.0
0.889795918367347,0.32972972972972975,1.0,0.49593495934959353,185,61,1.0,1.0
0.9081632653061225,0.32972972972972975,1.0,0.49593495934959353,185,61,1.0,1.0
0.926530612244898,0.32972972972972975,1.0,0.49593495934959353,185,61,1.0,1.0
0.9448979591836735,0.32972972972972975,1.0,0.49593495934959353,185,61,1.0,1.0
0.963265306122449,0.32972972972972975,1.0,0.49593495934959353,185,61,1.0,1.0
0.9816326530612246,0.32972972972972975,1.0,0.49593495934959353,185,61,1.0,1.0
1.0,0.32972972972972975,1.0,0.49593495934959353,185,61,1.0,1.0
