threshold,precision,recall,n_predicted,predpos,acc
0.0,0.8,0.06557377049180328,5,0.02702702702702703,0.06557377049180328
0.02040816326530612,0.8,0.06557377049180328,5,0.02702702702702703,0.06557377049180328
0.04081632653061224,0.8,0.06557377049180328,5,0.02702702702702703,0.06557377049180328
0.061224489795918366,0.8571428571428571,0.09836065573770492,7,0.03783783783783784,0.09836065573770492
0.08163265306122448,0.8571428571428571,0.09836065573770492,7,0.03783783783783784,0.09836065573770492
0.1020408163265306,0.875,0.11475409836065574,8,0.043243243243243246,0.11475409836065574
0.12244897959183673,0.875,0.11475409836065574,8,0.043243243243243246,0.11475409836065574
0.14285714285714285,0.8888888888888888,0.13114754098360656,9,0.04864864864864865,0.13114754098360656
0.16326530612244897,0.9,0.14754098360655737,10,0.05405405405405406,0.14754098360655737
0.18367346938775508,0.6190476190476191,0.21311475409836064,21,0.11351351351351352,0.21311475409836064
0.2040816326530612,0.6190476190476191,0.21311475409836064,21,0.11351351351351352,0.21311475409836064
0.22448979591836732,0.6071428571428571,0.2786885245901639,28,0.15135135135135136,0.2786885245901639
0.24489795918367346,0.52,0.639344262295082,75,0.40540540540540543,0.639344262295082
0.26530612244897955,0.54,0.4426229508196721,50,0.2702702702702703,0.4426229508196721
0.2857142857142857,0.54,0.4426229508196721,50,0.2702702702702703,0.4426229508196721
0.3061224489795918,0.5061728395061729,0.6721311475409836,81,0.43783783783783786,0.6721311475409836
0.32653061224489793,0.5061728395061729,0.6721311475409836,81,0.43783783783783786,0.6721311475409836
0.3469387755102041,0.5061728395061729,0.6721311475409836,81,0.43783783783783786,0.6721311475409836
0.36734693877551017,0.5061728395061729,0.6721311475409836,81,0.43783783783783786,0.6721311475409836
0.3877551020408163,0.5061728395061729,0.6721311475409836,81,0.43783783783783786,0.6721311475409836
0.4081632653061224,0.5061728395061729,0.6721311475409836,81,0.43783783783783786,0.6721311475409836
0.42857142857142855,0.5061728395061729,0.6721311475409836,81,0.43783783783783786,0.6721311475409836
0.44897959183673464,0.5061728395061729,0.6721311475409836,81,0.43783783783783786,0.6721311475409836
0.4693877551020408,0.5061728395061729,0.6721311475409836,81,0.43783783783783786,0.6721311475409836
0.4897959183673469,0.5061728395061729,0.6721311475409836,81,0.43783783783783786,0.6721311475409836
0.5102040816326531,0.5061728395061729,0.6721311475409836,81,0.43783783783783786,0.6721311475409836
0.5306122448979591,0.5061728395061729,0.6721311475409836,81,0.43783783783783786,0.6721311475409836
0.5510204081632653,0.5061728395061729,0.6721311475409836,81,0.43783783783783786,0.6721311475409836
0.5714285714285714,0.5061728395061729,0.6721311475409836,81,0.43783783783783786,0.6721311475409836
0.5918367346938775,0.5061728395061729,0.6721311475409836,81,0.43783783783783786,0.6721311475409836
0.6122448979591836,0.36024844720496896,0.9508196721311475,161,0.8702702702702703,0.9508196721311475
0.6326530612244897,0.36024844720496896,0.9508196721311475,161,0.8702702702702703,0.9508196721311475
0.6530612244897959,0.36024844720496896,0.9508196721311475,161,0.8702702702702703,0.9508196721311475
0.673469387755102,0.36024844720496896,0.9508196721311475,161,0.8702702702702703,0.9508196721311475
0.6938775510204082,0.36024844720496896,0.9508196721311475,161,0.8702702702702703,0.9508196721311475
0.7142857142857142,0.32972972972972975,1.0,185,1.0,1.0
0.7346938775510203,0.32972972972972975,1.0,185,1.0,1.0
0.7551020408163265,0.32972972972972975,1.0,185,1.0,1.0
0.7755102040816326,0.32972972972972975,1.0,185,1.0,1.0
0.7959183673469387,0.32972972972972975,1.0,185,1.0,1.0
0.8163265306122448,0.32972972972972975,1.0,185,1.0,1.0
0.836734693877551,0.32972972972972975,1.0,185,1.0,1.0
0.8571428571428571,0.32972972972972975,1.0,185,1.0,1.0
0.8775510204081632,0.32972972972972975,1.0,185,1.0,1.0
0.8979591836734693,0.32972972972972975,1.0,185,1.0,1.0
0.9183673469387754,0.32972972972972975,1.0,185,1.0,1.0
0.9387755102040816,0.32972972972972975,1.0,185,1.0,1.0
0.9591836734693877,0.32972972972972975,1.0,185,1.0,1.0
0.9795918367346939,0.32972972972972975,1.0,185,1.0,1.0
1.0,0.32972972972972975,1.0,185,1.0,1.0
