lambda,precision,recall,n_predicted
0.010101010101010102,0.43283582089552236,0.9508196721311475,134
0.020202020202020204,0.43283582089552236,0.9508196721311475,134
0.030303030303030304,0.43283582089552236,0.9508196721311475,134
0.04040404040404041,0.43283582089552236,0.9508196721311475,134
0.05050505050505051,0.43283582089552236,0.9508196721311475,134
0.06060606060606061,0.43283582089552236,0.9508196721311475,134
0.07070707070707072,0.43283582089552236,0.9508196721311475,134
0.08080808080808081,0.43283582089552236,0.9508196721311475,134
0.09090909090909091,0.43283582089552236,0.9508196721311475,134
0.10101010101010102,0.43283582089552236,0.9508196721311475,134
0.11111111111111112,0.43283582089552236,0.9508196721311475,134
0.12121212121212122,0.43283582089552236,0.9508196721311475,134
0.13131313131313133,0.43283582089552236,0.9508196721311475,134
0.14141414141414144,0.43283582089552236,0.9508196721311475,134
0.15151515151515152,0.43283582089552236,0.9508196721311475,134
0.16161616161616163,0.43283582089552236,0.9508196721311475,134
0.17171717171717174,0.43283582089552236,0.9508196721311475,134
0.18181818181818182,0.43283582089552236,0.9508196721311475,134
0.19191919191919193,0.43283582089552236,0.9508196721311475,134
0.20202020202020204,0.43283582089552236,0.9508196721311475,134
0.21212121212121213,0.43283582089552236,0.9508196721311475,134
0.22222222222222224,0.43283582089552236,0.9508196721311475,134
0.23232323232323235,0.43283582089552236,0.9508196721311475,134
0.24242424242424243,0.42962962962962964,0.9508196721311475,135
0.25,0.42962962962962964,0.9508196721311475,135
0.25252525252525254,0.42962962962962964,0.9508196721311475,135
0.26262626262626265,0.42962962962962964,0.9508196721311475,135
0.27272727272727276,0.4264705882352941,0.9508196721311475,136
0.2828282828282829,0.4264705882352941,0.9508196721311475,136
0.29292929292929293,0.4264705882352941,0.9508196721311475,136
0.30303030303030304,0.4264705882352941,0.9508196721311475,136
0.31313131313131315,0.4264705882352941,0.9508196721311475,136
0.32323232323232326,0.4306569343065693,0.9672131147540983,137
0.33333333333333337,0.4306569343065693,0.9672131147540983,137
0.3434343434343435,0.4306569343065693,0.9672131147540983,137
0.3535353535353536,0.4306569343065693,0.9672131147540983,137
0.36363636363636365,0.4306569343065693,0.9672131147540983,137
0.37373737373737376,0.4244604316546763,0.9672131147540983,139
0.38383838383838387,0.425531914893617,0.9836065573770492,141
0.393939393939394,0.4225352112676056,0.9836065573770492,142
0.4040404040404041,0.4195804195804196,0.9836065573770492,143
0.4141414141414142,0.4195804195804196,0.9836065573770492,143
0.42424242424242425,0.4195804195804196,0.9836065573770492,143
0.43434343434343436,0.4195804195804196,0.9836065573770492,143
0.4444444444444445,0.4195804195804196,0.9836065573770492,143
0.4545454545454546,0.41379310344827586,0.9836065573770492,145
0.4646464646464647,0.410958904109589,0.9836065573770492,146
0.4747474747474748,0.40540540540540543,0.9836065573770492,148
0.48484848484848486,0.40268456375838924,0.9836065573770492,149
0.494949494949495,0.4,0.9836065573770492,150
0.5050505050505051,0.4,0.9836065573770492,150
0.5151515151515152,0.4,0.9836065573770492,150
0.5252525252525253,0.3973509933774834,0.9836065573770492,151
0.5353535353535354,0.3973509933774834,0.9836065573770492,151
0.5454545454545455,0.3973509933774834,0.9836065573770492,151
0.5555555555555556,0.39473684210526316,0.9836065573770492,152
0.5656565656565657,0.3935483870967742,1.0,155
0.5757575757575758,0.3935483870967742,1.0,155
0.5858585858585859,0.391025641025641,1.0,156
0.595959595959596,0.3885350318471338,1.0,157
0.6060606060606061,0.3860759493670886,1.0,158
0.6161616161616162,0.37888198757763975,1.0,161
0.6262626262626263,0.37423312883435583,1.0,163
0.6363636363636365,0.37423312883435583,1.0,163
0.6464646464646465,0.3719512195121951,1.0,164
0.6565656565656566,0.35260115606936415,1.0,173
0.6666666666666667,0.3485714285714286,1.0,175
0.6767676767676768,0.3485714285714286,1.0,175
0.686868686868687,0.3485714285714286,1.0,175
0.696969696969697,0.3446327683615819,1.0,177
0.7070707070707072,0.3446327683615819,1.0,177
0.7171717171717172,0.3407821229050279,1.0,179
0.7272727272727273,0.3407821229050279,1.0,179
0.7373737373737375,0.3407821229050279,1.0,179
0.7474747474747475,0.3370165745856354,1.0,181
0.7575757575757577,0.3370165745856354,1.0,181
0.7676767676767677,0.3370165745856354,1.0,181
0.7777777777777778,0.3370165745856354,1.0,181
0.787878787878788,0.3370165745856354,1.0,181
0.797979797979798,0.3370165745856354,1.0,181
0.8080808080808082,0.3370165745856354,1.0,181
0.8181818181818182,0.3370165745856354,1.0,181
0.8282828282828284,0.32972972972972975,1.0,185
0.8383838383838385,0.32972972972972975,1.0,185
0.8484848484848485,0.32972972972972975,1.0,185
0.8585858585858587,0.32972972972972975,1.0,185
0.8686868686868687,0.32972972972972975,1.0,185
0.8787878787878789,0.32972972972972975,1.0,185
0.888888888888889,0.32972972972972975,1.0,185
0.8989898989898991,0.32972972972972975,1.0,185
0.9090909090909092,0.32972972972972975,1.0,185
0.9191919191919192,0.32972972972972975,1.0,185
0.9292929292929294,0.32972972972972975,1.0,185
0.9393939393939394,0.32972972972972975,1.0,185
0.9494949494949496,0.32972972972972975,1.0,185
0.9595959595959597,0.32972972972972975,1.0,185
0.9696969696969697,0.32972972972972975,1.0,185
0.9797979797979799,0.32972972972972975,1.0,185
0.98989898989899,0.32972972972972975,1.0,185
1.0,0.32972972972972975,1.0,185
