Host,Virus,HostTaxID,VirusTaxID,HostNCBIResolved,VirusNCBIResolved,ICTVRatified,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusOriginal,HostFlagID,DetectionMethod,DetectionOriginal,Database,DatabaseVersion,PublicationYear,ReferenceText,PMID,ReleaseYear,ReleaseMonth,ReleaseDay,CollectionYear,CollectionMonth,CollectionDay,AssocID,DatabaseDOI,Release_Date,Collection_Date,NCBIAccession
,betacoronavirus pandemicum,49442,3418604,TRUE,TRUE,TRUE,rhinolophus,rhinolophidae,chiroptera,mammalia,Rhinolophus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pandemicum,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2018,12,31,2007,8,,,,2018-12-31,2007-08,KY352407.1
,betacoronavirus pandemicum,49442,3418604,TRUE,TRUE,TRUE,rhinolophus,rhinolophidae,chiroptera,mammalia,Rhinolophus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pandemicum,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2020,6,1,,,,,,2020-06-01,,"MN312651.1, MN312655.1"
,betacoronavirus pandemicum,58068,3418604,TRUE,TRUE,TRUE,hipposideros,hipposideridae,chiroptera,mammalia,Hipposideros,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pandemicum,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2018,2,3,2016,6,17,,,2018-02-03,2016-06-17,MG000872.1
,betacoronavirus pandemicum,9397,3418604,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pandemicum,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2005,10,5,,,,,,2005-10-05,,"DQ071613.1, DQ071614.1, DQ071615.1"
,betacoronavirus pandemicum,9397,3418604,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pandemicum,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2017,5,10,2012,,,,,2017-05-10,2012,"KU973686.1, KU973687.1, KU973688.1, KU973690.1, KU973692.1"
,betacoronavirus pandemicum,9397,3418604,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pandemicum,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2022,12,28,2021,8,14,,,2022-12-28,2021-08-14,"OQ135136.1, OQ135137.1, OQ135138.1"
,betacoronavirus pandemicum,9397,3418604,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pandemicum,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2022,12,28,2021,8,23,,,2022-12-28,2021-08-23,OQ135139.1
,betacoronavirus pandemicum,9397,3418604,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pandemicum,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2023,5,10,2021,8,14,,,2023-05-10,2021-08-14,OQ946980.1
,betacoronavirus pipistrelli,9397,3433775,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pipistrelli,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2007,2,21,,,,,,2007-02-21,,NC_009020.1
,betacoronavirus pipistrelli,9397,3433775,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pipistrelli,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2007,2,7,,,,,,2007-02-07,,"EF065509.1, EF065510.1, EF065511.1, EF065512.1"
