seed,beta,clock,precision,recall,f1,TP,FP,FN
97,0,0.5,0.6594244330093386,0.5138105138105138,0.577581170186128,3460,1787,3274
97,1,0.5,0.7408472302089323,0.585961188599151,0.6543638364513671,3865,1352,2731
97,0,1.0,0.7607090103397341,0.5601631543167913,0.6452118080025058,4120,1296,3235
97,4,1.0,0.9688679245283018,0.8390522875816994,0.8992994746059545,1027,33,197
108,4,0.5,0.5152214687635261,0.5666455093621072,0.5397113277412529,3571,3360,2731
108,0,0.1,0.3158817635270541,0.5054108216432865,0.38877755511022044,2522,5462,2468
108,1,0.1,0.43237831176833025,0.5468536917981687,0.48292473118279566,2807,3685,2326
108,4,0.1,0.5794392523364486,0.5188640417066813,0.547481181239143,3782,2745,3507
108,4,1.0,0.6195715112912565,0.5873741994510522,0.6030433965808755,3210,1971,2255
130,4,0.5,0.6411189447350466,0.5909853249475892,0.6150321806479764,2819,1578,1951
130,0,0.1,0.5259196136912371,0.47165966118965735,0.49731399409078697,3703,3338,4148
130,1,0.1,0.5941445562671546,0.3927664207088424,0.4729099912612875,3247,2218,5020
130,4,1.0,0.3572801957699703,0.40896358543417366,0.3813788599682806,2044,3677,2954
64,4,0.5,1.0,0.5533162330524002,0.7124321774003303,1510,0,1219
64,0,0.1,0.6433514120067327,0.42716999875822675,0.5134328358208956,3440,1907,4613
64,1,0.1,0.6746145571889566,0.48737210205931875,0.5659072110685014,3763,1815,3958
64,4,0.1,0.7733918128654971,0.5972580645161291,0.6740080087368037,3703,1085,2497
64,1,1.0,0.9993718592964824,0.3329148357396945,0.4994506356929838,1591,1,3188
64,0,0.5,0.8567633837351859,0.5612367822246018,0.6782046097856853,4193,701,3278
64,1,0.5,0.9242633972711094,0.6553561413348289,0.7669209943391583,4674,383,2458
64,0,1.0,0.9979550102249489,0.42442163854583403,0.5955577251647547,2440,5,3309
64,4,1.0,1.0,0.5934545454545455,0.7448653582838887,816,0,559
141,4,0.5,0.93033381712627,0.5833902161547213,0.7171025031464132,2564,192,1831
141,0,0.1,0.5111607142857143,0.5258927546216557,0.5184220951949742,4580,4380,4129
141,1,0.1,0.4589538685070832,0.3019476639980882,0.3642522522522523,2527,2979,5842
141,4,0.1,0.5329441201000834,0.32993416806505743,0.4075580004783544,2556,2240,5191
141,1,1.0,0.4844664111357676,0.609904761904762,0.5399966271291247,4803,5111,3072
141,4,1.0,0.8035756853396901,0.5598737751204119,0.6599451840250588,3371,824,2650
