thresh,precision,recall,TP,FP,FN,TN,n_predicted,n_ground_pos
0.089,0.7692307692307693,0.16393442622950818,10,3,51,121,13,61
0.09,0.7142857142857143,0.16393442622950818,10,4,51,120,14,61
0.091,0.625,0.16393442622950818,10,6,51,118,16,61
0.092,0.625,0.16393442622950818,10,6,51,118,16,61
0.093,0.625,0.16393442622950818,10,6,51,118,16,61
0.094,0.6470588235294118,0.18032786885245902,11,6,50,118,17,61
0.095,0.6470588235294118,0.18032786885245902,11,6,50,118,17,61
0.096,0.6470588235294118,0.18032786885245902,11,6,50,118,17,61
0.097,0.6666666666666666,0.19672131147540983,12,6,49,118,18,61
0.098,0.6666666666666666,0.19672131147540983,12,6,49,118,18,61
0.099,0.6666666666666666,0.19672131147540983,12,6,49,118,18,61
0.1,0.6842105263157895,0.21311475409836064,13,6,48,118,19,61
0.101,0.6842105263157895,0.21311475409836064,13,6,48,118,19,61
0.10200000000000001,0.7,0.22950819672131148,14,6,47,118,20,61
0.10300000000000001,0.7,0.22950819672131148,14,6,47,118,20,61
0.10400000000000001,0.7,0.22950819672131148,14,6,47,118,20,61
0.105,0.7,0.22950819672131148,14,6,47,118,20,61
0.106,0.7,0.22950819672131148,14,6,47,118,20,61
0.107,0.6666666666666666,0.22950819672131148,14,7,47,117,21,61
0.108,0.6666666666666666,0.22950819672131148,14,7,47,117,21,61
0.109,0.6666666666666666,0.22950819672131148,14,7,47,117,21,61
0.11,0.6666666666666666,0.22950819672131148,14,7,47,117,21,61
0.111,0.6666666666666666,0.22950819672131148,14,7,47,117,21,61
0.112,0.6818181818181818,0.2459016393442623,15,7,46,117,22,61
0.113,0.6818181818181818,0.2459016393442623,15,7,46,117,22,61
0.114,0.6818181818181818,0.2459016393442623,15,7,46,117,22,61
0.115,0.6818181818181818,0.2459016393442623,15,7,46,117,22,61
0.116,0.6818181818181818,0.2459016393442623,15,7,46,117,22,61
0.117,0.6818181818181818,0.2459016393442623,15,7,46,117,22,61
0.11800000000000001,0.6818181818181818,0.2459016393442623,15,7,46,117,22,61
0.11900000000000001,0.6818181818181818,0.2459016393442623,15,7,46,117,22,61
0.12,0.6818181818181818,0.2459016393442623,15,7,46,117,22,61
0.121,0.6818181818181818,0.2459016393442623,15,7,46,117,22,61
0.122,0.6818181818181818,0.2459016393442623,15,7,46,117,22,61
0.123,0.6818181818181818,0.2459016393442623,15,7,46,117,22,61
0.124,0.6956521739130435,0.26229508196721313,16,7,45,117,23,61
0.125,0.72,0.29508196721311475,18,7,43,117,25,61
0.126,0.72,0.29508196721311475,18,7,43,117,25,61
0.127,0.7142857142857143,0.32786885245901637,20,8,41,116,28,61
0.128,0.7142857142857143,0.32786885245901637,20,8,41,116,28,61
0.129,0.7241379310344828,0.3442622950819672,21,8,40,116,29,61
0.13,0.7241379310344828,0.3442622950819672,21,8,40,116,29,61
0.131,0.7241379310344828,0.3442622950819672,21,8,40,116,29,61
0.132,0.7241379310344828,0.3442622950819672,21,8,40,116,29,61
0.133,0.7241379310344828,0.3442622950819672,21,8,40,116,29,61
0.134,0.7241379310344828,0.3442622950819672,21,8,40,116,29,61
0.135,0.7241379310344828,0.3442622950819672,21,8,40,116,29,61
0.136,0.7241379310344828,0.3442622950819672,21,8,40,116,29,61
0.137,0.7241379310344828,0.3442622950819672,21,8,40,116,29,61
0.138,0.7241379310344828,0.3442622950819672,21,8,40,116,29,61
0.139,0.7241379310344828,0.3442622950819672,21,8,40,116,29,61
0.14,0.7241379310344828,0.3442622950819672,21,8,40,116,29,61
0.14100000000000001,0.7241379310344828,0.3442622950819672,21,8,40,116,29,61
0.14200000000000002,0.7333333333333333,0.36065573770491804,22,8,39,116,30,61
0.14300000000000002,0.7333333333333333,0.36065573770491804,22,8,39,116,30,61
0.14400000000000002,0.7333333333333333,0.36065573770491804,22,8,39,116,30,61
0.145,0.7333333333333333,0.36065573770491804,22,8,39,116,30,61
0.146,0.7333333333333333,0.36065573770491804,22,8,39,116,30,61
0.147,0.7333333333333333,0.36065573770491804,22,8,39,116,30,61
0.148,0.7096774193548387,0.36065573770491804,22,9,39,115,31,61
0.149,0.7096774193548387,0.36065573770491804,22,9,39,115,31,61
0.15,0.7096774193548387,0.36065573770491804,22,9,39,115,31,61
0.151,0.6875,0.36065573770491804,22,10,39,114,32,61
0.152,0.6875,0.36065573770491804,22,10,39,114,32,61
0.153,0.6875,0.36065573770491804,22,10,39,114,32,61
0.154,0.6764705882352942,0.3770491803278688,23,11,38,113,34,61
0.155,0.6764705882352942,0.3770491803278688,23,11,38,113,34,61
0.156,0.6764705882352942,0.3770491803278688,23,11,38,113,34,61
0.157,0.6764705882352942,0.3770491803278688,23,11,38,113,34,61
0.158,0.6764705882352942,0.3770491803278688,23,11,38,113,34,61
0.159,0.6764705882352942,0.3770491803278688,23,11,38,113,34,61
0.16,0.6764705882352942,0.3770491803278688,23,11,38,113,34,61
0.161,0.6764705882352942,0.3770491803278688,23,11,38,113,34,61
0.162,0.6764705882352942,0.3770491803278688,23,11,38,113,34,61
0.163,0.6857142857142857,0.39344262295081966,24,11,37,113,35,61
0.164,0.6486486486486487,0.39344262295081966,24,13,37,111,37,61
0.165,0.6486486486486487,0.39344262295081966,24,13,37,111,37,61
0.166,0.6486486486486487,0.39344262295081966,24,13,37,111,37,61
0.167,0.631578947368421,0.39344262295081966,24,14,37,110,38,61
0.168,0.6410256410256411,0.4098360655737705,25,14,36,110,39,61
0.169,0.6410256410256411,0.4098360655737705,25,14,36,110,39,61
0.17,0.6410256410256411,0.4098360655737705,25,14,36,110,39,61
0.171,0.625,0.4098360655737705,25,15,36,109,40,61
0.17200000000000001,0.6428571428571429,0.4426229508196721,27,15,34,109,42,61
0.17300000000000001,0.6428571428571429,0.4426229508196721,27,15,34,109,42,61
0.17400000000000002,0.6428571428571429,0.4426229508196721,27,15,34,109,42,61
0.17500000000000002,0.6428571428571429,0.4426229508196721,27,15,34,109,42,61
0.176,0.6511627906976745,0.45901639344262296,28,15,33,109,43,61
0.177,0.6511627906976745,0.45901639344262296,28,15,33,109,43,61
0.178,0.6511627906976745,0.45901639344262296,28,15,33,109,43,61
0.179,0.6511627906976745,0.45901639344262296,28,15,33,109,43,61
0.18,0.6511627906976745,0.45901639344262296,28,15,33,109,43,61
0.181,0.6444444444444445,0.47540983606557374,29,16,32,108,45,61
0.182,0.6444444444444445,0.47540983606557374,29,16,32,108,45,61
0.183,0.6304347826086957,0.47540983606557374,29,17,32,107,46,61
0.184,0.6304347826086957,0.47540983606557374,29,17,32,107,46,61
0.185,0.6304347826086957,0.47540983606557374,29,17,32,107,46,61
0.186,0.6304347826086957,0.47540983606557374,29,17,32,107,46,61
0.187,0.625,0.4918032786885246,30,18,31,106,48,61
0.188,0.6326530612244898,0.5081967213114754,31,18,30,106,49,61
0.189,0.6326530612244898,0.5081967213114754,31,18,30,106,49,61
0.19,0.64,0.5245901639344263,32,18,29,106,50,61
0.191,0.64,0.5245901639344263,32,18,29,106,50,61
0.192,0.64,0.5245901639344263,32,18,29,106,50,61
0.193,0.64,0.5245901639344263,32,18,29,106,50,61
0.194,0.64,0.5245901639344263,32,18,29,106,50,61
0.195,0.64,0.5245901639344263,32,18,29,106,50,61
0.196,0.64,0.5245901639344263,32,18,29,106,50,61
0.197,0.6470588235294118,0.5409836065573771,33,18,28,106,51,61
0.198,0.6470588235294118,0.5409836065573771,33,18,28,106,51,61
0.199,0.6296296296296297,0.5573770491803278,34,20,27,104,54,61
0.2,0.6363636363636364,0.5737704918032787,35,20,26,104,55,61
0.201,0.6363636363636364,0.5737704918032787,35,20,26,104,55,61
0.202,0.6363636363636364,0.5737704918032787,35,20,26,104,55,61
0.203,0.631578947368421,0.5901639344262295,36,21,25,103,57,61
0.20400000000000001,0.631578947368421,0.5901639344262295,36,21,25,103,57,61
0.20500000000000002,0.6379310344827587,0.6065573770491803,37,21,24,103,58,61
0.20600000000000002,0.6271186440677966,0.6065573770491803,37,22,24,102,59,61
0.20700000000000002,0.6271186440677966,0.6065573770491803,37,22,24,102,59,61
0.20800000000000002,0.6271186440677966,0.6065573770491803,37,22,24,102,59,61
0.209,0.6271186440677966,0.6065573770491803,37,22,24,102,59,61
0.21,0.6271186440677966,0.6065573770491803,37,22,24,102,59,61
0.211,0.6065573770491803,0.6065573770491803,37,24,24,100,61,61
0.212,0.6129032258064516,0.6229508196721312,38,24,23,100,62,61
0.213,0.6031746031746031,0.6229508196721312,38,25,23,99,63,61
0.214,0.5757575757575758,0.6229508196721312,38,28,23,96,66,61
0.215,0.582089552238806,0.639344262295082,39,28,22,96,67,61
0.216,0.5652173913043478,0.639344262295082,39,30,22,94,69,61
0.217,0.5652173913043478,0.639344262295082,39,30,22,94,69,61
0.218,0.5571428571428572,0.639344262295082,39,31,22,93,70,61
0.219,0.5555555555555556,0.6557377049180327,40,32,21,92,72,61
0.22,0.5555555555555556,0.6557377049180327,40,32,21,92,72,61
0.221,0.5555555555555556,0.6557377049180327,40,32,21,92,72,61
0.222,0.5555555555555556,0.6557377049180327,40,32,21,92,72,61
0.223,0.5540540540540541,0.6721311475409836,41,33,20,91,74,61
0.224,0.5526315789473685,0.6885245901639344,42,34,19,90,76,61
0.225,0.5384615384615384,0.6885245901639344,42,36,19,88,78,61
0.226,0.5384615384615384,0.6885245901639344,42,36,19,88,78,61
0.227,0.5384615384615384,0.6885245901639344,42,36,19,88,78,61
0.228,0.5316455696202531,0.6885245901639344,42,37,19,87,79,61
0.229,0.5316455696202531,0.6885245901639344,42,37,19,87,79,61
0.23,0.525,0.6885245901639344,42,38,19,86,80,61
0.231,0.5308641975308642,0.7049180327868853,43,38,18,86,81,61
0.232,0.5308641975308642,0.7049180327868853,43,38,18,86,81,61
0.233,0.5308641975308642,0.7049180327868853,43,38,18,86,81,61
0.234,0.5308641975308642,0.7049180327868853,43,38,18,86,81,61
0.23500000000000001,0.5308641975308642,0.7049180327868853,43,38,18,86,81,61
0.23600000000000002,0.5308641975308642,0.7049180327868853,43,38,18,86,81,61
0.23700000000000002,0.5308641975308642,0.7049180327868853,43,38,18,86,81,61
0.23800000000000002,0.5308641975308642,0.7049180327868853,43,38,18,86,81,61
0.23900000000000002,0.5308641975308642,0.7049180327868853,43,38,18,86,81,61
0.24,0.5308641975308642,0.7049180327868853,43,38,18,86,81,61
