threshold,lambda,precision,recall,f1,count_pred,count_acc,predpos,acc
0.1,0.0,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.02040816326530612,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.04081632653061224,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.061224489795918366,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.08163265306122448,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.1020408163265306,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.12244897959183673,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.14285714285714285,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.16326530612244897,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.18367346938775508,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.2040816326530612,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.22448979591836732,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.24489795918367346,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.26530612244897955,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.2857142857142857,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.3061224489795918,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.32653061224489793,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.3469387755102041,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.36734693877551017,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.3877551020408163,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.4081632653061224,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
0.1,0.42857142857142855,0.5362318840579711,0.6065573770491803,0.5692307692307692,69,37,0.372972972972973,0.6065573770491803
