Host,Virus,HostTaxID,VirusTaxID,HostNCBIResolved,VirusNCBIResolved,ICTVRatified,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusOriginal,HostFlagID,DetectionMethod,DetectionOriginal,Database,DatabaseVersion,PublicationYear,ReferenceText,PMID,ReleaseYear,ReleaseMonth,ReleaseDay,CollectionYear,CollectionMonth,CollectionDay,AssocID,DatabaseDOI,Release_Date,Collection_Date,NCBIAccession
homo sapiens,betacoronavirus pandemicum,9606,3418604,TRUE,TRUE,TRUE,homo,hominidae,primates,mammalia,Homo sapiens,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pandemicum,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2022,7,12,2021,1,1,,,2022-07-12,2021-01-01,OM988258.1
homo sapiens,betacoronavirus gravedinis,9606,3433757,TRUE,TRUE,TRUE,homo,hominidae,primates,mammalia,Homo sapiens,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus gravedinis,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2025,7,5,2017,3,11,,,2025-07-05,2017-03-11,PV837549.1
homo sapiens,betacoronavirus pandemicum,9606,694009,TRUE,TRUE,TRUE,homo,hominidae,primates,mammalia,Homo sapiens,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Severe acute respiratory syndrome-related coronavirus,FALSE,Not specified,CargoCarrier,EID2,Wardeh et al. 2015 Sci Data,2007,"Chen CY, 2007, J Infect Dis, 196",17597455,,,,,,,195754,https://doi.org/10.1038/sdata.2015.49,,,
