virus_id,host_id,virus_genus,host_name,status
1335626,2853157,betacoronavirus,epomophorus pusillus,host not in dataset
1335626,372077,betacoronavirus,epomophorus gambianus,correct
1335626,903567,betacoronavirus,epomophorus labiatus,correct
1335626,58067,betacoronavirus,epomophorus wahlbergi,incorrect_but_suspected
1335626,498220,betacoronavirus,nanonycteris veldkampii,incorrect_but_suspected
1335626,448084,betacoronavirus,hypsignathus monstrosus,incorrect_but_suspected
1335626,58071,betacoronavirus,myonycteris angolensis,incorrect_but_suspected
1335626,77243,betacoronavirus,myonycteris torquata,incorrect_but_suspected
1335626,58073,betacoronavirus,megaloglossus woermanni,correct
1335626,1898393,betacoronavirus,rousettus sp.,host not in dataset
1335626,58083,betacoronavirus,rousettus amplexicaudatus,correct
1335626,77223,betacoronavirus,rousettus madagascariensis,incorrect_but_suspected
1335626,9407,betacoronavirus,rousettus aegyptiacus,correct
1335626,9408,betacoronavirus,rousettus leschenaultii,correct
1335626,58065,betacoronavirus,eonycteris spelaea,correct
1335626,58063,betacoronavirus,eidolon dupreanum,correct
1335626,77214,betacoronavirus,eidolon helvum,correct
1335626,1898386,betacoronavirus,cynopterus sp.,host not in dataset
1335626,58060,betacoronavirus,cynopterus brachyotis,correct
1335626,9400,betacoronavirus,cynopterus sphinx,correct
1335626,298110,betacoronavirus,,host_unknown
1335626,77233,betacoronavirus,megaerops niphanae,correct
1335626,374419,betacoronavirus,megaerops kusnotoi,incorrect_but_suspected
1335626,326081,betacoronavirus,dyacopterus spadiceus,correct
1335626,326151,betacoronavirus,penthetor lucasii,host not in dataset
1335626,326083,betacoronavirus,macroglossus sobrinus,incorrect_but_suspected
1335626,1381355,betacoronavirus,taphozous perforatus,correct
1335626,187003,betacoronavirus,taphozous melanopogon,incorrect_but_suspected
1335626,907075,betacoronavirus,coleura afra,incorrect_but_suspected
1335626,258909,betacoronavirus,,host_unknown
1335626,909369,betacoronavirus,glauconycteris variegata,incorrect_but_suspected
1335626,29078,betacoronavirus,eptesicus fuscus,incorrect_but_suspected
1335626,2969767,betacoronavirus,histiotus laephotis,incorrect_but_unlikely
1335626,3371014,betacoronavirus,cnephaeus japonensis,host not in dataset
1335626,3371016,betacoronavirus,cnephaeus nilssonii,host not in dataset
1335626,3371021,betacoronavirus,cnephaeus serotinus,host not in dataset
1335626,360967,betacoronavirus,ia io,correct
1335626,109485,betacoronavirus,hypsugo savii,correct
1335626,59474,betacoronavirus,pipistrellus pipistrellus,correct
1335626,999321,betacoronavirus,hypsugo alaschanicus,incorrect_but_suspected
1335626,867834,betacoronavirus,hypsugo pulveratus,incorrect_but_suspected
1335626,143942,betacoronavirus,chalinolobus tuberculatus,incorrect_but_unlikely
1335626,258889,betacoronavirus,chalinolobus gouldii,incorrect_but_unlikely
1335626,2491053,betacoronavirus,falsistrellus mackenziei,incorrect_but_unlikely
1335626,110938,betacoronavirus,laephotis capensis,host not in dataset
1335626,258944,betacoronavirus,neoromicia somalicus,incorrect_but_suspected
1335626,258959,betacoronavirus,tylonycteris pachypus,correct
1335626,526822,betacoronavirus,tylonycteris robustula,incorrect_but_unlikely
1335626,59485,betacoronavirus,vespertilio murinus,incorrect_but_suspected
3433633,105295,betacoronavirus,pipistrellus abramus,correct
3433633,258946,betacoronavirus,pipistrellus coromandra,incorrect_but_unlikely
3433633,187011,betacoronavirus,nyctalus plancyi,incorrect_but_unlikely
3433633,375553,betacoronavirus,nyctalus plancyi,incorrect_but_unlikely
3433633,51300,betacoronavirus,nyctalus noctula,correct
3433633,246814,betacoronavirus,pipistrellus pygmaeus,correct
3433633,294653,betacoronavirus,pipistrellus hesperidus,correct
3433633,110941,betacoronavirus,macronycteris commersonii,host not in dataset
3433633,2603869,betacoronavirus,macronycteris vittatus,host not in dataset
3433633,188568,betacoronavirus,aselliscus stoliczkanus,correct
3433633,1207989,betacoronavirus,hipposideros lekaguli,incorrect_but_unlikely
3433633,188569,betacoronavirus,hipposideros pratti,correct
3433633,59453,betacoronavirus,hipposideros diadema,incorrect_but_unlikely
3433633,175524,betacoronavirus,hipposideros larvatus,incorrect_but_suspected
3433633,186990,betacoronavirus,hipposideros armiger,correct
3433633,186991,betacoronavirus,hipposideros armiger,correct
3433633,157961,betacoronavirus,hipposideros bicolor,incorrect_but_suspected
3433633,270698,betacoronavirus,hipposideros cineraceus,incorrect_but_unlikely
3433633,334201,betacoronavirus,hipposideros pomona,incorrect_but_suspected
3433633,249020,betacoronavirus,hipposideros abae,incorrect_but_unlikely
3433633,584995,betacoronavirus,hipposideros fuliginosus,incorrect_but_suspected
3433633,302402,betacoronavirus,hipposideros caffer,correct
3433633,463808,betacoronavirus,hipposideros ruber,correct
3433633,170233,betacoronavirus,hipposideros cervinus,incorrect_but_suspected
3433633,58069,betacoronavirus,hipposideros galeritus,correct
3433633,159858,betacoronavirus,rhinolophus pusillus,correct
3433633,376555,betacoronavirus,rhinolophus pusillus,correct
3433633,169756,betacoronavirus,rhinolophus monoceros,incorrect_but_negative
3433633,188570,betacoronavirus,rhinolophus lepidus,incorrect_but_suspected
3433633,196296,betacoronavirus,rhinolophus cornutus,correct
3433633,188572,betacoronavirus,rhinolophus rex,correct
3433633,196889,betacoronavirus,rhinolophus macrotis,correct
3433633,867892,betacoronavirus,rhinolophus siamensis,incorrect_but_suspected
3433633,476588,betacoronavirus,rhinolophus marshalli,incorrect_but_suspected
3433633,337452,betacoronavirus,rhinolophus borneensis,incorrect_but_suspected
