threshold,lambda,precision,recall,n_predicted,predpos,acc
0.0,0.9387755102040816,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.0,0.9591836734693877,0.75,0.04918032786885246,4,0.021621621621621623,0.04918032786885246
0.0,0.9795918367346939,0.5238095238095238,0.18032786885245902,21,0.11351351351351352,0.18032786885245902
0.0,1.0,0.32972972972972975,1.0,185,1.0,1.0
0.02040816326530612,0.9387755102040816,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.02040816326530612,0.9591836734693877,0.75,0.04918032786885246,4,0.021621621621621623,0.04918032786885246
0.02040816326530612,0.9795918367346939,0.5238095238095238,0.18032786885245902,21,0.11351351351351352,0.18032786885245902
0.02040816326530612,1.0,0.32972972972972975,1.0,185,1.0,1.0
0.04081632653061224,0.9387755102040816,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.04081632653061224,0.9591836734693877,0.75,0.04918032786885246,4,0.021621621621621623,0.04918032786885246
0.04081632653061224,0.9795918367346939,0.5238095238095238,0.18032786885245902,21,0.11351351351351352,0.18032786885245902
0.04081632653061224,1.0,0.32972972972972975,1.0,185,1.0,1.0
0.061224489795918366,0.9387755102040816,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.061224489795918366,0.9591836734693877,0.75,0.04918032786885246,4,0.021621621621621623,0.04918032786885246
0.061224489795918366,0.9795918367346939,0.5238095238095238,0.18032786885245902,21,0.11351351351351352,0.18032786885245902
0.061224489795918366,1.0,0.32972972972972975,1.0,185,1.0,1.0
0.08163265306122448,0.9387755102040816,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.08163265306122448,0.9591836734693877,0.75,0.04918032786885246,4,0.021621621621621623,0.04918032786885246
0.08163265306122448,0.9795918367346939,0.5238095238095238,0.18032786885245902,21,0.11351351351351352,0.18032786885245902
0.08163265306122448,1.0,0.32972972972972975,1.0,185,1.0,1.0
0.1020408163265306,0.02040816326530612,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.04081632653061224,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.061224489795918366,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.08163265306122448,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.1020408163265306,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.12244897959183673,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.14285714285714285,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.16326530612244897,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.18367346938775508,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.2040816326530612,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.22448979591836732,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.24489795918367346,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.26530612244897955,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.2857142857142857,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.3061224489795918,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.32653061224489793,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.3469387755102041,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.36734693877551017,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.3877551020408163,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.4081632653061224,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
