AssocID,Host,HostClass,HostOrder,HostFamily,HostGenus,HostTaxID,HostNCBIResolved,Virus,VirusClass,VirusOrder,VirusFamily,VirusGenus,VirusTaxID,VirusNCBIResolved,ICTVRatified,PublicationYear,ReleaseYear,ReferenceText,PMID,NCBIAccession,Database,DatabaseVersion,DatabaseDOI,DetectionMethod,Detection_NotSpecified,Detection_Serology,Detection_Genetic,Detection_Isolation,HostOriginal,VirusOriginal,DetectionMethodOriginal
200729,miniopterus pusillus,mammalia,chiroptera,vespertilionidae,miniopterus,258934,TRUE,miniopterus bat coronavirus hku8,pisoniviricetes,nidovirales,coronaviridae,alphacoronavirus,694001,TRUE,TRUE,2006,,"Chu DKW, 2006, J Gen Virol, 87",16894183,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,miniopterus pusillus,miniopterus bat coronavirus hku8,PCR
200747,miniopterus schreibersii,mammalia,chiroptera,vespertilionidae,miniopterus,9433,TRUE,miniopterus bat coronavirus 1,pisoniviricetes,nidovirales,coronaviridae,alphacoronavirus,694000,TRUE,TRUE,2007,,"Wong S, 2007, Rev Med Virol, 17",17042030,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,miniopterus schreibersii,miniopterus bat coronavirus 1,PCR
209592,pipistrellus abramus,mammalia,chiroptera,vespertilionidae,pipistrellus,105295,TRUE,pipistrellus bat coronavirus hku5,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694008,TRUE,TRUE,2006,,"Woo PC, 2006, Virology, 351",16647731,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,pipistrellus abramus,pipistrellus bat coronavirus hku5,Isolation
209593,pipistrellus abramus,mammalia,chiroptera,vespertilionidae,pipistrellus,105295,TRUE,pipistrellus bat coronavirus hku5,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694008,TRUE,TRUE,2013,,"Lau SK, 2013, J Virol, 87",23720729,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,pipistrellus abramus,pipistrellus bat coronavirus hku5,Isolation
209627,pipistrellus pipistrellus,mammalia,chiroptera,vespertilionidae,pipistrellus,59474,TRUE,pipistrellus bat coronavirus hku5,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694008,TRUE,TRUE,2007,,"Cui J, 2007, Emerg Infect Dis, 13",18258002,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,pipistrellus pipistrellus,pipistrellus bat coronavirus hku5,PCR
211366,rhinolophus affinis,mammalia,chiroptera,rhinolophidae,rhinolophus,59477,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,2013,,"Yang L, 2013, Emerg Infect Dis, 19",23739658,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,rhinolophus affinis,severe acute respiratory syndrome-related coronavirus,Isolation
211367,rhinolophus affinis,mammalia,chiroptera,rhinolophidae,rhinolophus,59477,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,2014,,"He B, 2014, J Virol, 88",24719429,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,rhinolophus affinis,severe acute respiratory syndrome-related coronavirus,Isolation
211369,rhinolophus blasii,mammalia,chiroptera,rhinolophidae,rhinolophus,519037,TRUE,rhinolophus bat coronavirus hku2,pisoniviricetes,nidovirales,coronaviridae,alphacoronavirus,693998,TRUE,TRUE,2010,,"Drexler JF, 2010, J Virol, 84",20686038,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus blasii,rhinolophus bat coronavirus hku2,PCR
211370,rhinolophus blasii,mammalia,chiroptera,rhinolophidae,rhinolophus,519037,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,2010,,Drexler et al. 2010,,,HP3,Olival et al. 2017 Nature,https://doi.org/10.5281/zenodo.596810,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus blasii,severe acute respiratory syndrome-related coronavirus,PCR
211372,rhinolophus cornutus,mammalia,chiroptera,rhinolophidae,rhinolophus,196296,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,,,http://www.ncbi.nlm.nih.gov/nuccore/AB890000.1,,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus cornutus,severe acute respiratory syndrome-related coronavirus,PCR
