dataset	1_hit	1_hit_numden	2_hit	2_hit_numden	3_hit	3_hit_numden	4_hit	4_hit_numden	5_hit	5_hit_numden	10_hit	10_hit_numden
cow	0.06	4/66	0.08	5/66	0.11	7/66	0.18	12/66	0.18	12/66	0.33	22/66
gut	0.05	4/84	0.08	7/84	0.15	13/84	0.19	16/84	0.25	21/84	0.43	36/84
water	0.06	6/101	0.15	15/101	0.23	23/101	0.31	31/101	0.36	36/101	0.61	62/101
