dataset	1_hit	1_hit_numden	2_hit	2_hit_numden	3_hit	3_hit_numden	4_hit	4_hit_numden	5_hit	5_hit_numden	10_hit	10_hit_numden
cow	0.58	38/66	0.65	43/66	0.71	47/66	0.71	47/66	0.71	47/66	0.83	55/66
gut	0.38	32/84	0.48	40/84	0.56	47/84	0.60	50/84	0.61	51/84	0.71	60/84
water	0.55	56/101	0.70	71/101	0.79	80/101	0.82	83/101	0.85	86/101	0.94	95/101
